# Merged IXP ASN members and corresponding IP interfaces from HE, PDB and PCH datasets
# Format: IP|ASN|IXP
#
5.57.80.1|8550|LONAP
5.57.80.2|8550|LONAP
5.57.80.4|12654|LONAP
5.57.80.5|25152|LONAP
5.57.80.6|20562|LONAP
5.57.80.7|42010|LONAP
5.57.80.8|16509|LONAP
5.57.80.10|2529|LONAP
5.57.80.12|50056|LONAP
5.57.80.13|50056|LONAP
5.57.80.14|5413|LONAP
5.57.80.15|5413|LONAP
5.57.80.16|20738|LONAP
5.57.80.18|12390|LONAP
5.57.80.19|12390|LONAP
5.57.80.22|8897|LONAP
5.57.80.23|8897|LONAP
5.57.80.24|29550|LONAP
5.57.80.28|62955|LONAP
5.57.80.30|7342|LONAP
5.57.80.32|31463|LONAP
5.57.80.33|31463|LONAP
5.57.80.34|44444|LONAP
5.57.80.38|8190|LONAP
5.57.80.42|31472|LONAP
5.57.80.43|31472|LONAP
5.57.80.44|33920|LONAP
5.57.80.46|29611|LONAP
5.57.80.48|13037|LONAP
5.57.80.52|8683|LONAP
5.57.80.54|21321|LONAP
5.57.80.56|34555|LONAP
5.57.80.57|34555|LONAP
5.57.80.58|20712|LONAP
5.57.80.60|48961|LONAP
5.57.80.66|8282|LONAP
5.57.80.69|20712|LONAP
5.57.80.70|30740|LONAP
5.57.80.72|20940|LONAP
5.57.80.73|20940|LONAP
5.57.80.74|5503|LONAP
5.57.80.75|5503|LONAP
5.57.80.76|39545|LONAP
5.57.80.78|8607|LONAP
5.57.80.80|31712|LONAP
5.57.80.82|16376|LONAP
5.57.80.83|16376|LONAP
5.57.80.84|43323|LONAP
5.57.80.86|30803|LONAP
5.57.80.87|30803|LONAP
5.57.80.88|6067|LONAP
5.57.80.89|6067|LONAP
5.57.80.90|2818|LONAP
5.57.80.91|2818|LONAP
5.57.80.92|31459|LONAP
5.57.80.95|15830|LONAP
5.57.80.96|50300|LONAP
5.57.80.98|19186|LONAP
5.57.80.100|8916|LONAP
5.57.80.102|25180|LONAP
5.57.80.104|20915|LONAP
5.57.80.105|20915|LONAP
5.57.80.108|8530|LONAP
5.57.80.118|61012|LONAP
5.57.80.120|12519|LONAP
